cdrRecordType,globalCallID_callManagerId,globalCallID_callId,origLegCallIdentifier,dateTimeOrigination,origNodeId,origSpan,origIpAddr,callingPartyNumber,origCause_location,origCause_value,origPrecedenceLevel,origMediaTransportAddress_IP,origMediaTransportAddress_Port,origMediaCap_payloadCapability,origMediaCap_maxFramesPerPacket,origMediaCap_g723BitRate,origVideoCap_Codec,origVideoCap_Bandwidth,origVideoCap_Resolution,origVideoTransportAddress_IP,origVideoTransportAddress_Port,origRSVPAudioStat,origRSVPVideoStat,destLegIdentifier,destNodeId,destSpan,destIpAddr,originalCalledPartyNumber,finalCalledPartyNumber,destCause_location,destCause_value,destPrecedenceLevel,destMediaTransportAddress_IP,destMediaTransportAddress_Port,destMediaCap_payloadCapability,destMediaCap_maxFramesPerPacket,destMediaCap_g723BitRate,destVideoCap_Codec,destVideoCap_Bandwidth,destVideoCap_Resolution,destVideoTransportAddress_IP,destVideoTransportAddress_Port,destRSVPAudioStat,destRSVPVideoStat,dateTimeConnect,dateTimeDisconnect,lastRedirectDn,pkid,origCallTerminationOnBehalfOf,destCallTerminationOnBehalfOf,origCalledPartyRedirectOnBehalfOf,lastRedirectRedirectOnBehalfOf,origCalledPartyRedirectReason,lastRedirectRedirectReason,destConversationId,globalCallId_ClusterID,joinOnBehalfOf,comment,authCodeDescription,authorizationLevel,clientMatterCode,origDTMFMethod,destDTMFMethod,callSecuredStatus,origConversationId,origMediaCap_Bandwidth,destMediaCap_Bandwidth,authorizationCodeValue,outpulsedCallingPartyNumber,outpulsedCalledPartyNumber,origVideoCap_Codec_Channel2,origVideoCap_Bandwidth_Channel2,origVideoCap_Resolution_Channel2,origVideoTransportAddress_IP_Channel2,origVideoTransportAddress_Port_Channel2,origVideoChannel_Role_Channel2,destVideoCap_Codec_Channel2,destVideoCap_Bandwidth_Channel2,destVideoCap_Resolution_Channel2,destVideoTransportAddress_IP_Channel2,destVideoTransportAddress_Port_Channel2,destVideoChannel_Role_Channel2,incomingProtocolID,incomingProtocolCallRef,outgoingProtocolID,outgoingProtocolCallRef,currentRoutingReason,origRoutingReason,lastRedirectingRoutingReason,huntPilotDN,huntPilotPartition,calledPartyPatternUsage,outpulsedOriginalCalledPartyNumber,outpulsedLastRedirectingNumber,wasCallQueued,totalWaitTimeInQueue,mobileCallingPartyNumber,origMobileCallDuration,destMobileCallDuration,mobileCallType
1,2,3769862,41873891,1684519884,2,41873891,1850540810,13134864626,0,16,4,1850540810,31106,4,20,0,0,0,0,0,0,0,0,41873892,1,0,441254666,13126463105,13126463105,0,0,4,441254666,16954,4,20,0,0,0,0,0,0,0,0,1684519896,1684519924,13126463105,29c82de9-2adb-4c59-a156-8411c1fb5b93,12,0,0,0,0,0,0,StandAloneCluster,0,,,0,,2,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,7F7FE4BDF5A911ED8280E72D760FE46E,0,,0,0,0,,,2,,,0,0,,0,0,0
1,2,3769916,41874001,1684520681,2,41874001,1850540810,18666865260,0,16,4,1850540810,31278,4,20,0,0,0,0,0,0,0,0,41874011,2,41874011,189595914,13126463558,2000,0,0,4,189595914,16782,4,20,0,0,0,0,0,0,0,0,1684520701,1684520714,13126463558,f4039af2-7e7f-4f97-ad22-724ac3922323,12,0,5,5,2,2,0,StandAloneCluster,5,,,0,,2,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,5A77D84AF5AB11ED845CE72D760FE46E,1,764902000001000000003C560A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3769917,41874005,1684520689,2,41874005,1850540810,13123135484,0,16,4,1850540810,31282,4,20,0,0,0,0,0,0,0,0,41874006,2,0,-1083964662,13126463600,13126463600,0,0,4,-1083964662,18476,4,20,0,0,0,0,0,0,0,0,1684520699,1684520718,13126463600,2eb8b859-19fe-40b6-8738-d96e3d39722e,12,0,0,0,0,0,0,StandAloneCluster,0,,,0,,2,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,5F9A8B76F5AB11ED8464E72D760FE46E,0,,0,0,0,,,2,,,0,0,,0,0,0
1,2,3769919,41874015,1684520857,2,41874015,1850540810,13602844368,0,16,4,1850540810,31280,4,20,0,0,0,0,0,0,0,0,41874018,2,41874018,1850540810,13126463532,18472760987,0,0,4,1850540810,31288,4,20,0,0,0,0,0,0,0,0,1684520864,1684520877,13126463532,473418f9-1b60-437b-a49f-74fa80be58b9,12,0,5,5,15,15,0,StandAloneCluster,5,,,0,,2,2,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,C3DD812AF5AB11ED849BE72D760FE46E,1,D344B8000001000000003C570A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3769920,41874019,1684520901,2,41874019,1850540810,13602844368,0,16,4,1850540810,31294,4,20,0,0,0,0,0,0,0,0,41874025,2,41874025,189595914,13126463356,2000,0,0,4,189595914,21146,4,20,0,0,0,0,0,0,0,0,1684520921,1684520935,13126463356,a83b0a8d-9ac1-4040-b017-d5d419c1012c,12,0,5,5,2,2,0,StandAloneCluster,5,,,0,,2,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,DE016691F5AB11ED84B5E72D760FE46E,1,F96A58000001000000003C580A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3769921,41874026,1684520927,2,41874026,1850540810,14156445123,0,16,4,1850540810,31292,4,20,0,0,0,0,0,0,0,0,41874029,2,41874029,1850540810,3532,18472760987,0,0,4,1850540810,31300,4,20,0,0,0,0,0,0,0,0,1684520933,1684520937,3532,2b21882c-92bc-46a3-94c9-184f71b61329,12,0,5,5,15,15,0,StandAloneCluster,5,,,0,,2,2,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,ED9A9FC6F5AB11ED84C3E72D760FE46E,1,FCFDDF000001000000003C590A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3769922,41874031,1684520945,2,41874031,1850540810,14156445123,0,393216,4,1850540810,31306,4,20,0,0,0,0,0,0,0,0,41874032,2,0,164168458,13126463600,13126463600,0,393216,4,164168458,24118,4,20,0,0,0,0,0,0,0,0,1684520947,1684520969,13126463600,0ea252f0-3a14-49d8-b1dd-bbb173818a3d,10,10,0,0,0,0,0,StandAloneCluster,0,,,0,,2,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,F7C8ABD9F5AB11ED84D4E72D760FE46E,0,,0,0,0,,,2,,,0,0,,0,0,0
1,2,3769923,41874036,1684520965,2,0,164168458,3600,0,393216,4,0,0,0,0,0,0,0,0,0,0,0,0,41874040,2,41874040,1850540810,3532,18472760987,0,393216,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1684520969,3532,54be574c-7d8b-4eed-a7fd-2581113c2917,10,10,5,5,15,15,0,StandAloneCluster,5,,,0,,3,2,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,143CCC800001000000003C5A0A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3769922,41874031,1684520969,2,41874031,1850540810,14156445123,0,16,4,1850540810,31306,4,20,0,0,0,0,0,0,0,0,41874040,2,41874040,1850540810,3532,18472760987,0,0,4,1850540810,31308,4,20,0,0,0,0,0,0,0,0,1684520971,1684520974,13126463600,18fbd56e-ca71-4caf-bf93-b47116b4d711,12,10,5,10,15,4,0,StandAloneCluster,10,,,0,,2,2,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,F7C8ABD9F5AB11ED84D4E72D760FE46E,1,143CCC800001000000003C5A0A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3769927,41874055,1684521346,2,41874055,1850540810,14125000566,0,16,4,1850540810,31330,4,20,0,0,0,0,0,0,0,0,41874058,2,41874058,189595914,2542,2000,0,0,4,189595914,17778,4,20,0,0,0,0,0,0,0,0,1684521347,1684521357,2542,880bab5f-a300-4ed7-9462-789b7eff1274,12,0,5,5,15,15,0,StandAloneCluster,5,,,0,,2,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,E758CBF0F5AC11ED856EE72D760FE46E,1,F6BC32800001000000003C5E0A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3769924,41874042,1684521275,2,0,1992819466,3559,0,0,4,1992819466,23946,4,20,0,0,0,0,0,0,0,0,41874043,2,41874043,1850540810,14126065251,14126065251,0,16,4,1850540810,31312,4,20,0,0,0,0,0,0,0,0,1684521297,1684521615,14126065251,7aa88297-f088-46e6-858d-11d50d773700,0,12,0,0,0,0,0,StandAloneCluster,0,,,0,,3,2,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,CF6565800001000000003C5B0A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3769929,41874064,1684521993,2,41874064,1850540810,13123921007,0,0,4,1850540810,31338,4,20,0,0,0,0,0,0,0,0,41874067,2,41874067,189595914,2542,2000,0,16,4,189595914,17204,4,20,0,0,0,0,0,0,0,0,1684521993,1684522005,2542,ef478678-3648-4b28-b81e-8b45418de38e,0,12,5,5,15,15,0,StandAloneCluster,5,,,0,,2,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,6893436FF5AE11ED8631E72D760FE46E,1,786090000001000000003C5F0A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3769930,41874068,1684522017,2,41874068,1850540810,13129643884,0,393216,4,1850540810,31342,4,20,0,0,0,0,0,0,0,0,41874069,2,0,164168458,13126463600,13126463600,0,393216,4,164168458,21172,4,20,0,0,0,0,0,0,0,0,1684522021,1684522046,13126463600,bd714f92-41fb-46fe-a6e8-83cae62f678c,10,10,0,0,0,0,0,StandAloneCluster,0,,,0,,2,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,7705B016F5AE11ED8640E72D760FE46E,0,,0,0,0,,,2,,,0,0,,0,0,0
1,2,3769931,41874073,1684522044,2,0,164168458,3600,0,393216,4,0,0,0,0,0,0,0,0,0,0,0,0,41874075,2,0,-1748499702,3356,3356,0,393216,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1684522046,3356,1f65b539-6c8e-411b-a5b3-7475407c0e6e,10,10,0,0,0,0,0,StandAloneCluster,0,,,0,,3,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,,2,,,0,0,,0,0,0
1,2,3769930,41874068,1684522046,2,41874068,1850540810,13129643884,0,16,4,1850540810,31342,4,20,0,0,0,0,0,0,0,0,41874081,2,41874081,189595914,3356,2000,0,0,4,189595914,17286,4,20,0,0,0,0,0,0,0,0,1684522065,1684522069,3356,b509c807-439f-42dd-8938-07ddaa35b80a,12,10,5,5,2,2,0,StandAloneCluster,5,,,0,,2,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,7705B016F5AE11ED8640E72D760FE46E,1,A34AE4000001000000003C600A4D030A,0,0,0,,,5,,,0,0,,0,0,0
1,2,3769932,41874083,1684522069,2,41874083,1850540810,15127886898,0,393216,4,1850540810,31340,4,20,0,0,0,0,0,0,0,0,41874084,2,0,164168458,13126463600,13126463600,0,393216,4,164168458,28052,4,20,0,0,0,0,0,0,0,0,1684522072,1684522086,13126463600,7a17c6d4-ed56-4607-ae4b-1e14aff5f458,10,10,0,0,0,0,0,StandAloneCluster,0,,,0,,2,3,0,0,64,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,9639D241F5AE11ED8655E72D760FE46E,0,,0,0,0,,,2,,,0,0,,0,0,0
1,2,3769933,41874088,1684522083,2,0,164168458,3600,0,393216,4,0,0,0,0,0,0,0,0,0,0,0,0,41874090,2,0,2026373898,3531,3531,0,393216,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1684522086,3531,f1bae32f-2683-4e72-9392-c36f97477ef5,10,10,0,0,0,0,0,StandAloneCluster,0,,,0,,3,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,,2,,,0,0,,0,0,0
